place_id,value,time,type,id,device_id
5,1.0,2016-06-16T11:04:34,movement,69961,1210143
5,1.0,2016-06-16T11:04:35,movement,69962,1210143
5,1.0,2016-06-16T11:04:40,movement,69963,1210143
5,1.0,2016-06-16T11:04:23,closed,69964,1210111
5,0.0,2016-06-16T11:04:26,closed,69965,1210111
5,0.0,2016-06-16T11:04:27,closed,69966,1210111
5,1.0,2016-06-16T11:04:30,closed,69967,1210111
2,1.0,2016-06-16T11:04:58,movement,69971,1210115
5,1.0,2016-06-16T11:04:45,movement,69972,1210143
5,1.0,2016-06-16T11:04:46,movement,69973,1210143
5,1.0,2016-06-16T11:04:52,movement,69974,1210143
5,1.0,2016-06-16T11:04:53,movement,69975,1210143
2,1.0,2016-06-16T11:04:59,movement,69979,1210115
5,1.0,2016-06-16T11:05,movement,69980,1210143
5,1.0,2016-06-16T11:05:01,movement,69981,1210143
4,1.0,2016-06-16T11:05:43,movement,69982,1213102
4,1.0,2016-06-16T11:05:43,movement,69983,1213102
4,0.0,2016-06-16T11:05:35,closed,69984,1210105
4,0.0,2016-06-16T11:05:36,closed,69985,1210105
5,1.0,2016-06-16T11:06:51,movement,70008,1210143
5,1.0,2016-06-16T11:06:59,movement,70009,1210143
5,1.0,2016-06-16T11:07:05,movement,70010,1210143
5,1.0,2016-06-16T11:07:06,movement,70011,1210143
5,1.0,2016-06-16T11:07:09,movement,70012,1210143
5,1.0,2016-06-16T11:07:10,movement,70013,1210143
5,1.0,2016-06-16T11:07:16,movement,70014,1210143
5,1.0,2016-06-16T11:07:20,movement,70015,1210143
5,1.0,2016-06-16T11:07:21,movement,70016,1210143
5,1.0,2016-06-16T11:07:24,movement,70017,1210143
5,1.0,2016-06-16T11:07:25,movement,70018,1210143
5,1.0,2016-06-16T11:07:26,movement,70019,1210143
4,0.0,2016-06-16T11:07:12,closed,70020,1210105
4,0.0,2016-06-16T11:07:13,closed,70021,1210105
4,1.0,2016-06-16T11:07:15,closed,70022,1210105
4,1.0,2016-06-16T11:07:16,closed,70023,1210105
5,1.0,2016-06-16T11:07:30,movement,70024,1210143
5,1.0,2016-06-16T11:07:31,movement,70025,1210143
5,0.0,2016-06-16T11:07:49,closed,70028,1210111
5,0.0,2016-06-16T11:07:50,closed,70029,1210111
5,1.0,2016-06-16T11:07:53,closed,70030,1210111
5,0.0,2016-06-16T11:08:03,closed,70031,1210111
5,1.0,2016-06-16T11:08:06,closed,70032,1210111
5,1.0,2016-06-16T11:08:07,closed,70033,1210111
